Index,X,Y,Area,Diameter
1,2.9255,4.5594,0.0004654610250543242,0.024344267983082382
2,3.239,4.5139,6.878734360408733e-05,0.00935856645293548
3,3.2829,4.4882,2.0636203081226196e-05,0.005125897952183872
4,2.8256,4.4837,0.0010134668624335532,0.03592194435897187
5,2.4879,4.4685,0.00022814468962022294,0.017043557162335497
6,3.3919,4.4488,3.897949470898281e-05,0.007044872894330455
7,3.5145,4.4367,0.00023731633543410126,0.01738276568576854
8,3.4267,4.4307,1.9489747354491406e-05,0.004981477396178365
9,3.2647,4.4413,0.0013528177575470506,0.0415025428826819
10,2.397,4.4655,0.01139118410083686,0.12043133337526388
11,2.235,4.4307,0.004263668847726679,0.07367952078142889
12,2.7256,4.3883,8.713063523184393e-05,0.010532719038077417
13,3.7795,4.358,0.0005927176107218857,0.027471285023312017
14,2.0594,4.3549,0.0006924592589478124,0.02969286970992128
15,3.3025,4.3398,0.0001112062054932745,0.011899249491206652
16,3.1436,4.3459,0.000792200907173739,0.031759432022450816
17,3.0285,4.3777,0.00946169911274221,0.1097588696676901
18,3.5645,4.3247,7.795898941796562e-05,0.00996295479235673
19,2.2835,4.3216,0.00010547392685960056,0.011588510457179027
20,2.1214,4.3201,0.00017999354909736183,0.015138523854986362
21,2.5591,4.3731,0.016563992339864227,0.14522372418377602
22,2.9861,4.2959,9.515582531898746e-05,0.011007095879842525
23,2.4894,4.2959,0.00017426127046368787,0.014895514112314384
24,3.3162,4.2838,0.0007062167276686298,0.02998638132254645
25,2.9134,4.2807,0.0006569191314190339,0.028920847425616514
26,3.2465,4.2898,0.0017987890352468834,0.047856967437483376
27,3.7644,4.2671,0.0016852899183001392,0.04632254060738928
28,2.7741,4.2323,0.0013000807941172504,0.04068555368212133
29,3.2299,4.2126,1.0318101540613098e-05,0.0036245572016594526
30,3.9506,4.2429,0.006719377014392596,0.09249527842386954
31,2.017,4.2368,0.004797917216385091,0.0781594391757461
32,3.0921,4.2096,0.0009687550890908964,0.03512061059540345
33,3.4903,4.252,0.012923995407481273,0.1282783770897527
34,4.0385,4.1778,0.0005904246992684162,0.02741809758712142
35,1.6505,4.205,0.0051292429214114445,0.08081308632946747
36,2.7847,4.1611,4.01259504357176e-05,0.007147723194475202
37,2.6923,4.1732,0.002022347901960167,0.050743800823232335
38,3.4343,4.1596,0.0003164217805788017,0.020071888895877313
39,3.2692,4.1687,0.0008575488835976219,0.033043382849520464
40,3.3313,4.1884,0.004029791879472782,0.07163023368660318
41,2.924,4.1475,3.4393671802043658e-06,0.0020926390760712815
42,2.1442,4.152,0.00022929114534695773,0.01708632650727957
43,3.027,4.1581,0.0008839173653125221,0.03354755645041856
44,1.7081,4.1475,0.0004551429235137111,0.024072930206437863
45,2.7711,4.1354,2.1782658807960983e-05,0.005266359519038709
46,3.4282,4.1263,0.00023616987970736646,0.017340727496814125
47,2.2668,4.1581,0.0051567578588530795,0.08102955034131418
48,3.6857,4.1142,2.1782658807960983e-05,0.005266359519038709
49,3.3919,4.1127,0.0001926045620914445,0.015659876913667815
50,3.7462,4.0915,0.00012840304139429633,0.012786235957758801
51,3.351,4.093,0.0002625383614222666,0.01828316777182779
52,3.08,4.093,0.0005778136862743335,0.027123702454747555
53,3.5206,4.0884,0.0003118359576718625,0.01992590958471346
54,4.1702,4.1006,0.003168803628694956,0.06351886404490163
55,3.189,4.0778,8.598417950510915e-05,0.010463195380356408
56,3.1254,4.0854,0.0006500403970586252,0.0287690309049573
57,3.6887,4.0703,5.8469242063474224e-05,0.008628171946936845
58,3.2904,4.0763,0.001219828893245815,0.03940982599163689
59,3.56,4.037,4.585822906939155e-06,0.0024163714677729684
60,2.6227,4.0672,0.002257371325940799,0.05361132752822927
61,3.0179,4.037,5.617633061000464e-05,0.008457300137205389
62,4.2262,4.0521,0.0010937187633049885,0.037317100373136555
63,3.7038,4.037,0.00016394316892307477,0.014447800031909897
