Index,X,Y,Area,Diameter
1,3.0623,5.0418,5.946382465148724e-06,0.002751575785390458
2,3.8503,5.0332,0.00013528020108213347,0.013124180036767893
3,3.1882,5.0384,0.0006095042026777442,0.027857581616708572
4,4.028,5.0211,7.432978081435905e-06,0.0030763552506877186
5,3.3675,5.0263,0.0002363687029896618,0.01734802524162903
6,3.4003,5.0194,0.0002839397627108516,0.01901376696518012
7,3.1313,5.0074,0.00013676679669842067,0.013196093890359514
8,3.2537,5.0091,0.0002616408284665439,0.018251888924735248
9,3.6089,5.0022,0.00020663679066391816,0.016220300036388424
10,4.0952,4.9901,1.486595616287181e-05,0.004350623318200254
11,2.7382,4.9901,1.6352551779158994e-05,0.004562972231183812
12,2.6899,4.9901,2.973191232574362e-06,0.0019456578967982933
13,3.0175,4.9936,0.00010406169314010268,0.011510667348076502
14,3.0658,4.9832,3.419169917460517e-05,0.006598046945179757
15,2.6002,4.9729,7.432978081435905e-06,0.0030763552506877186
16,3.7469,4.9729,4.9057655337476974e-05,0.007903299737936282
17,3.2951,4.9763,0.00015460594409386682,0.014030338622835339
18,2.8192,4.966,0.00019920381258248227,0.015925896258673432
19,4.209,4.9573,3.5678294790892346e-05,0.0067399566628044945
20,2.9623,4.9608,0.00010703488437267704,0.01167394738078976
21,3.6865,4.9573,0.00014419977477985656,0.013549939320588029
22,3.4279,4.9539,3.5678294790892346e-05,0.0067399566628044945
23,2.552,4.947,2.5272125476882077e-05,0.005672518800028365
24,3.2089,4.978,0.003909746470835286,0.07055525364249092
25,3.7003,4.9436,8.919573697723087e-06,0.0033699783314022473
26,3.0296,4.9556,0.0005232816569330878,0.025812068856287874
27,4.2556,4.9384,2.973191232574362e-06,0.0019456578967982933
28,3.5158,4.9453,0.0003389438005134773,0.020773941615798038
29,3.3055,4.9401,7.730297204693341e-05,0.009920947582550394
30,3.271,4.9367,6.095042026777442e-05,0.008809340801283485
31,4.2728,4.928,2.973191232574362e-06,0.0019456578967982933
32,3.8814,4.9349,0.00016649870902416428,0.014559970483380771
33,3.6452,4.9298,5.50040378026257e-05,0.008368591043324488
34,3.3244,4.928,0.0001100080756052514,0.011834974951423499
35,3.1399,4.9229,4.7571059721189795e-05,0.007782631587193173
36,3.1158,4.9332,0.00021704295997792845,0.01662370835735125
37,3.0537,4.9194,0.00022298934244307717,0.016849891657011236
38,3.959,4.9211,0.0005039559139213543,0.02533094152233229
39,3.0934,4.9056,5.0544250953764153e-05,0.008022153019816469
40,2.9089,4.9125,0.0006541020711663596,0.028858770301282463
41,3.6107,4.9108,0.00045787144981645177,0.02414497952601178
42,3.0348,4.9004,7.135658958178469e-05,0.009531738122345021
43,3.5555,4.9125,0.0007730297204693342,0.0313727909080006
44,2.5261,4.8953,2.5272125476882077e-05,0.005672518800028365
45,3.4589,4.916,0.0018418919685798173,0.048426952118896756
46,4.328,4.8953,0.00012190084053554885,0.012458289236741773
47,3.64,4.8987,0.0003389438005134773,0.020773941615798038
48,2.8313,4.9091,0.0010852147998896423,0.03717174192516876
49,3.3693,4.8953,0.0001412265835472822,0.013409521652178501
50,2.7106,4.916,0.0033374071585647214,0.06518679905599614
51,4.3107,4.8815,4.9057655337476974e-05,0.007903299737936282
52,3.3951,4.8867,9.068233259351804e-05,0.010745246943039213
53,3.3382,4.878,9.36555238260924e-05,0.010919977862535577
54,2.6002,4.8763,3.5678294790892346e-05,0.0067399566628044945
55,3.9779,4.8729,5.50040378026257e-05,0.008368591043324488
56,2.9641,4.8832,0.0006853205791083905,0.029539418784762933
57,3.3003,4.8746,9.662871505866678e-05,0.011091956597897445
58,2.5468,4.8746,0.00022893572490822588,0.01707307875445328
59,2.8589,4.8608,0.00010703488437267704,0.01167394738078976
60,3.3451,4.8522,0.0001486595616287181,0.01375787892695229
61,3.133,4.8487,0.00011446786245411294,0.01207248976300589
62,4.0124,4.8384,8.324935451208214e-05,0.010295453862674516
63,3.4745,4.8349,5.351744218633852e-05,0.008254727356171375
64,4.1124,4.8315,6.98699939654975e-05,0.009431926595732104
65,3.0537,4.8366,0.00011892764930297449,0.012305421002750875
66,2.7227,4.8504,0.0002824531670945644,0.01896392738544651
67,3.4331,4.8384,0.0004400323024210056,0.023669949902846998
68,3.5779,4.8366,0.00042813953749070815,0.02334789476157952
69,3.9176,4.828,0.00028096657147827725,0.01891395647543901
70,3.6227,4.8315,0.0005381476130959595,0.026176149867744376
71,2.7951,4.8487,0.0011833301105645961,0.03881575313254499
72,3.871,4.8211,0.0002274491292919387,0.017017556400085097
73,2.6106,4.828,0.0009722335330518164,0.03518360670822639
74,4.0435,4.8246,0.0008310069495045343,0.032528001937698385
75,3.2727,4.8229,0.00030772529257144647,0.01979414083553927
76,2.664,4.8125,1.7839147395446173e-05,0.0047658690611725105
77,2.933,4.8108,4.4597868488615436e-05,0.007535500631716739
78,4.2935,4.8125,0.00010406169314010268,0.011510667348076502
79,3.002,4.8125,0.000188797643268472,0.015504342145419165
80,3.9038,4.8073,8.176275889579495e-05,0.010203116088370887
81,2.7158,4.8073,0.0002348821073733746,0.01729338565632858
82,2.5726,4.8004,8.919573697723087e-05,0.010656807192644838
83,4.1314,4.8056,0.00034191699174605165,0.020864856455484165
84,3.6314,4.7953,7.87895676632206e-05,0.010015887043162941
85,3.2865,4.797,0.0002988057188737234,0.01950515976512478
86,2.6727,4.7935,0.00013825339231470784,0.01326761795835524
87,3.4141,4.7935,0.00031664486626916956,0.020078963254393487
88,4.3521,4.7866,5.946382465148724e-05,0.008701246636400508
89,3.0313,4.7918,0.00038056847776951836,0.022012606283123664
90,2.764,4.7832,4.162467725604107e-05,0.007279985241690386
91,3.5572,4.7832,0.00020217700381505661,0.016044306039632937
92,4.5573,4.7797,8.62225457446565e-05,0.010477688432561506
93,3.8952,4.7763,6.24370158840616e-05,0.008916124588566757
94,4.1814,4.778,0.00014419977477985656,0.013549939320588029
95,3.1934,4.847,0.008128704829858306,0.10173390996543535
96,4.3763,4.7677,4.9057655337476974e-05,0.007903299737936282
97,3.8193,4.7642,4.311127287232825e-05,0.0074088445418240894
98,2.2192,4.7659,5.351744218633852e-05,0.008254727356171375
99,3.9504,4.7694,0.00023190891614080026,0.017183585272204913
100,3.7607,4.8453,0.020083906776039818,0.15991130141434154
101,2.4382,4.778,0.0006600484536315084,0.0289896497496077
102,3.4796,4.7608,9.216892820980523e-05,0.01083296470005235
103,2.8485,4.7866,0.002662492748770341,0.05822362969881748
104,2.5123,4.7884,0.0028453440095736644,0.060189737591756415
105,3.9141,4.7625,0.0004088137944789748,0.022814861155919058
106,2.2709,4.7591,0.0001501461572450053,0.013826497202631067
107,4.4125,4.747,5.946382465148724e-06,0.002751575785390458
108,3.1796,4.7522,0.00020217700381505661,0.016044306039632937
109,4.3211,4.7711,0.0007046463221201238,0.029953022591643955
110,3.8003,4.747,7.730297204693341e-05,0.009920947582550394
111,2.1968,4.7453,0.00012041424491926167,0.012382091034257062
112,2.4209,4.7384,6.24370158840616e-05,0.008916124588566757
113,2.6968,4.7418,0.00030921188818773364,0.01984189516510079
114,2.9037,4.7297,7.87895676632206e-05,0.010015887043162941
115,2.7434,4.7487,0.0014256451960194066,0.04260502130422682
116,3.6658,4.7487,0.001247253722064945,0.03985037968766681
117,3.5969,4.7332,0.00012041424491926167,0.012382091034257062
118,2.364,4.7297,0.0003701623084555081,0.021709566764355478
119,3.0365,4.7435,0.0006466690930849238,0.028694331525124416
120,2.2916,4.7228,0.00018582445203589763,0.015381776253438593
121,3.8245,4.7142,9.36555238260924e-05,0.010919977862535577
122,2.3985,4.7159,9.960190629124113e-05,0.01126130924098145
123,3.7762,4.7159,0.00027947997586199,0.01886385319146421
124,3.452,4.7108,6.838339834921033e-05,0.009331047475047581
125,2.4433,4.7108,8.027616327950778e-05,0.010109934994206742
126,3.5555,4.7159,0.0001873110476521848,0.015443180794011776
127,3.5831,4.7056,0.00017690487833817454,0.015008074052213586
128,4.3797,4.7022,7.581637643064624e-05,0.009825090768538769
129,2.8968,4.7004,3.7164890407179525e-05,0.006878939463476145
130,2.7761,4.7108,0.00055895995172398,0.02667751702198368
131,3.0813,4.7159,0.0017913477176260532,0.047757876339432945
132,3.3882,4.7349,0.006420606466744335,0.09041554100176141
133,3.3124,4.7022,0.0007076195133526982,0.03001614810442717
134,2.3157,4.7004,0.0005797722903520006,0.027169633913945983
135,4.2763,4.7315,0.0025732970117931103,0.05724005167506241
136,3.621,4.6849,8.473595012836933e-05,0.010386970807899019
137,3.2331,4.697,0.0009395284294934984,0.03458677131265716
138,4.14,4.6884,0.0003850282646183799,0.022141210724639152
139,2.1088,4.6815,0.00023042232052451306,0.0171284211321841
140,3.3331,4.6728,3.12185079420308e-05,0.00630465215847967
141,2.3485,4.678,0.00022893572490822588,0.01707307875445328
142,3.759,4.6763,0.0001174410536866873,0.012228270267264113
143,2.164,4.6711,0.0001337936054658463,0.013051869954600762
144,3.5486,4.6659,6.689680273292315e-05,0.009229065752063155
145,3.39,4.6677,0.00013676679669842067,0.013196093890359514
146,2.8382,4.6711,0.0001575791353264412,0.01416460329563799
147,2.0002,4.6694,0.0001635255177915899,0.014429385150641232
148,3.8383,4.6677,0.00011446786245411294,0.01207248976300589
149,2.4726,4.6642,5.7977229035200064e-05,0.008591792636102456
150,3.4313,4.6642,7.730297204693341e-05,0.009920947582550394
151,2.5192,4.6694,0.00027353359339684133,0.018662094950095163
152,4.2487,4.6608,9.811531067495395e-05,0.011176953676889218
153,3.9331,4.6763,0.0019117619625453148,0.04933691245744101
154,4.5366,4.6659,0.0003790818821532312,0.02196957084355834
155,2.7261,4.659,0.00027947997586199,0.01886385319146421
156,1.9726,4.6539,7.730297204693341e-05,0.009920947582550394
157,4.5521,4.6504,1.1892764930297449e-05,0.0038913157935965867
158,3.6089,4.6539,8.027616327950778e-05,0.010109934994206742
159,4.0228,4.6849,0.005509323353960293,0.0837537363882663
160,4.3487,4.6418,0.0001100080756052514,0.011834974951423499
161,4.09,4.6401,7.581637643064624e-05,0.009825090768538769
